DateTime,AltmanZScore
2023-03-31,-2.797
2022-12-31,-5.008
2022-09-30,-5.281
2022-06-30,-3.801
2022-03-31,-3.208
2021-12-31,1.636
2021-09-30,0.941
2021-06-30,-4.282
2021-03-31,-1.57
2020-12-31,-2.972
2020-09-30,-4.185
2020-06-30,-13.06
2020-03-31,-13.05
2019-12-31,-11.16
2019-09-30,-10.85
2019-06-30,-1.858
2019-03-31,1.164
2018-12-31,2.258
2018-09-30,7.7
2018-06-30,4.099
2018-03-31,1.82
2017-12-31,-1.644
2017-09-30,-5.037
2017-06-30,-5.905
2017-03-31,-7.699
2016-12-31,-7.521
2016-09-30,-1.371
2016-06-30,-1.211
2016-03-31,0.1591
2015-12-31,0.3195
2015-09-30,0.7611
2015-06-30,1.823
2015-03-31,2.74
2014-12-31,4.51
2014-09-30,7.704
2014-06-30,4.916
2014-03-31,7.468
2013-12-31,4.638
2013-09-30,0.3374
2013-06-30,0.0654
2013-03-31,0.1888
2012-12-31,2.857
2012-09-30,-35.57
2012-06-30,-30.06
2012-03-31,-23.53
2011-12-31,-25.62
2011-09-30,-20.99
2011-06-30,-16.8
2011-03-31,-18.01
2010-12-31,-13.2
