DateTime,AltmanZScore
2016-12-31,-59.37
2016-09-30,-29.42
2016-06-30,-20.84
2016-03-31,-18.41
2015-12-31,-14.38
2015-09-30,-11.74
2015-06-30,-9.79
2015-03-31,-20.37
2014-12-31,-16.94
2014-09-30,-10.96
2014-06-30,-6.19
2014-03-31,-2.683
2013-12-31,-1.512
2013-09-30,-1.512
2013-06-30,-1.512
2013-03-31,-1.512
2012-12-31,-1.512
2012-09-30,-1.512
2012-06-30,-1.512
2012-03-31,-1.512
2011-12-31,-1.512
2011-09-30,-1.512
2011-06-30,-1.512
2011-03-31,-1.512
2010-12-31,-1.512
2010-09-30,-1.512
2010-06-30,-1.512
2010-03-31,-1.512
2009-12-31,-1.512
2009-09-30,-1.512
2009-06-30,-1.512
2009-03-31,-1.512
2008-12-31,-1.512
2008-09-30,-1.512
2008-06-30,-1.512
2008-03-31,-1.512
2007-12-31,-1.512
2007-09-30,-1.512
2007-06-30,-1.512
2007-03-31,-1.512
2006-12-31,-1.512
2006-09-30,-1.512
2006-06-30,-1.512
2006-03-31,-1.512
2005-12-31,-1.512
2005-09-30,-1.512
2005-06-30,-1.512
2005-03-31,-1.512
2004-12-31,-1.512
2004-09-30,-1.512
