DateTime,AltmanZScore
2023-04-30,4.873
2023-01-31,4.639
2022-10-31,3.907
2022-07-31,4.511
2022-04-30,4.094
2022-01-31,4.25
2021-10-31,4.312
2021-07-31,5.084
2021-04-30,4.671
2021-01-31,4.559
2020-10-31,3.803
2020-07-31,3.558
2020-04-30,3.44
2020-01-31,3.474
2019-10-31,3.464
2019-07-31,3.702
2019-04-30,3.597
2019-01-31,3.192
2018-10-31,3.12
2018-07-31,3.254
2018-04-30,2.867
2018-01-31,2.84
2017-10-31,2.64
2017-07-31,2.305
2017-04-30,1.639
2017-01-31,4.984
2016-10-31,6.56
2016-07-31,6.616
2016-04-30,6.103
2016-01-31,6.123
2015-10-31,7.931
2015-07-31,7.563
2015-04-30,7.751
2015-01-31,7.097
2014-10-31,6.642
2014-07-31,4.097
2014-04-30,8.445
2014-01-31,8.345
2013-10-31,8.256
2013-07-31,8.785
2013-04-30,8.597
2013-01-31,8.514
2012-10-31,7.63
2012-07-31,7.757
2012-04-30,7.578
2012-01-31,7.877
2011-10-31,7.455
2011-07-31,7.081
2011-04-30,7.62
2011-01-31,8.772
