DateTime,AltmanZScore
2023-04-30,3.496
2023-01-31,3.853
2022-10-31,4.011
2022-07-31,4.107
2022-04-30,3.516
2022-01-31,4.476
2021-10-31,6.218
2021-07-31,7.282
2021-04-30,6.524
2021-01-31,6.191
2020-10-31,5.575
2020-07-31,5.737
2020-04-30,4.494
2020-01-31,4.188
2019-10-31,3.632
2019-07-31,3.849
2019-04-30,4.426
2019-01-31,3.664
2018-10-31,3.625
2018-07-31,3.564
2018-04-30,3.493
2018-01-31,2.765
2017-10-31,3.621
2017-07-31,3.323
2017-04-30,2.781
2017-01-31,2.516
2016-10-31,2.775
2016-07-31,2.573
2016-04-30,2.677
2016-01-31,2.365
2015-10-31,2.976
2015-07-31,2.911
2015-04-30,4.041
2015-01-31,3.763
2014-10-31,4.282
2014-07-31,4.172
2014-04-30,4.011
2014-01-31,4.341
2013-10-31,3.907
2013-07-31,3.611
2013-04-30,3.813
2013-01-31,3.722
2012-10-31,4.577
2012-07-31,5.174
2012-04-30,5.951
2012-01-31,5.249
2011-10-31,5.65
2011-07-31,5.654
2011-04-30,6.986
2011-01-31,6.272
