DateTime,AltmanZScore
2023-03-31,5.708
2022-12-31,5.914
2022-09-30,5.914
2022-06-30,5.914
2022-03-31,5.914
2021-12-31,5.914
2021-09-30,5.914
2021-06-30,5.914
2021-03-31,5.914
2020-12-31,5.914
2020-09-30,5.914
2020-06-30,5.914
2020-03-31,5.914
2019-12-31,4.96
2019-09-30,0.725
2019-06-30,3.847
2019-03-31,9.151
2018-12-31,7.129
2018-09-30,14.02
2018-06-30,15.2
2018-03-31,14.81
2017-12-31,4.224
2017-09-30,6.223
2017-06-30,4.461
2017-03-31,4.116
2016-12-31,2.921
2016-09-30,4.139
2016-06-30,2.678
2016-03-31,13.26
2015-12-31,18.66
2015-09-30,21.17
2015-06-30,35.57
2015-03-31,44.59
2014-12-31,36.95
2014-09-30,20.56
2014-06-30,12.84
2014-03-31,11.64
2013-12-31,5.923
2013-09-30,6.67
