DateTime,AltmanZScore
2023-03-31,1.936
2022-12-31,1.979
2022-09-30,1.75
2022-06-30,2.115
2022-03-31,2.114
2021-12-31,2.276
2021-09-30,2.68
2021-06-30,2.228
2021-03-31,2.238
2020-12-31,2.015
2020-09-30,2.019
2020-06-30,2.245
2020-03-31,2.361
2019-12-31,2.557
2019-09-30,2.67
2019-06-30,2.554
2019-03-31,3.088
2018-12-31,2.652
2018-09-30,2.788
2018-06-30,3.629
2018-03-31,3.262
2017-12-31,3.802
2017-09-30,4.061
2017-06-30,4.199
2017-03-31,3.601
2016-12-31,3.631
2016-09-30,3.55
2016-06-30,5.568
2016-03-31,6.58
2015-12-31,7.473
2015-09-30,6.318
2015-06-30,6.328
2015-03-31,7.015
2014-12-31,7.836
2014-09-30,6.568
2014-06-30,6.118
2014-03-31,6.21
2013-12-31,6.463
2013-09-30,5.93
2013-06-30,5.865
2013-03-31,6.444
2012-12-31,5.847
2012-09-30,6.813
2012-06-30,6.603
2012-03-31,6.049
2011-12-31,6.257
2011-09-30,5.849
2011-06-30,7.165
2011-03-31,6.089
2010-12-31,5.552
