DateTime,AltmanZScore
2023-03-31,1.39
2022-12-31,1.797
2022-09-30,2.035
2022-06-30,2.464
2022-03-31,2.642
2021-12-31,2.48
2021-09-30,2.365
2021-06-30,2.504
2021-03-31,2.041
2020-12-31,2.046
2020-09-30,1.956
2020-06-30,1.806
2020-03-31,1.997
2019-12-31,2.351
2019-09-30,2.206
2019-06-30,1.932
2019-03-31,1.628
2018-12-31,1.547
2018-09-30,1.678
2018-06-30,1.468
2018-03-31,1.336
2017-12-31,1.523
2017-09-30,1.555
2017-06-30,1.678
2017-03-31,1.534
2016-12-31,1.586
2016-09-30,1.568
2016-06-30,1.636
2016-03-31,1.636
2015-12-31,1.702
2015-09-30,1.845
2015-06-30,2.081
2015-03-31,1.919
2014-12-31,2.005
2014-09-30,3.682
2014-06-30,5.018
2014-03-31,5.324
2013-12-31,5.406
2013-09-30,5.471
2013-06-30,5.357
2013-03-31,6.098
2012-12-31,5.633
2012-09-30,4.705
2012-06-30,4.489
2012-03-31,3.588
2011-12-31,2.924
2011-09-30,2.941
2011-06-30,3.135
2011-03-31,3.024
2010-12-31,2.636
