DateTime,AltmanZScore
2023-06-30,3.838
2023-03-31,2.498
2022-12-31,2.283
2022-09-30,1.959
2022-06-30,3.017
2022-03-31,2.588
2021-12-31,2.297
2021-09-30,3.055
2021-06-30,2.634
2021-03-31,1.876
2020-12-31,1.884
2020-09-30,1.869
2020-06-30,2.249
2020-03-31,1.532
2019-12-31,2.303
2019-09-30,2.273
2019-06-30,2.914
2019-03-31,5.007
2018-12-31,4.13
2018-09-30,6.348
2018-06-30,6.323
2018-03-31,9.042
2017-12-31,8.302
2017-09-30,8.062
2017-06-30,9.781
2017-03-31,10.16
2016-12-31,9.517
2016-09-30,8.206
2016-06-30,6.929
2016-03-31,5.497
2015-12-31,13.0
2015-09-30,10.44
2015-06-30,11.54
2015-03-31,11.25
2014-12-31,10.34
2014-09-30,7.727
2014-06-30,9.124
2014-03-31,8.098
2013-09-30,5.957
2013-06-30,5.035
2013-03-31,4.041
2012-12-31,3.158
2012-09-30,3.429
2012-06-30,2.352
2012-03-31,2.262
2011-12-31,2.156
2011-09-30,1.836
2011-06-30,18.46
2011-03-31,11.72
2010-12-31,13.11
