DateTime,AltmanZScore
2023-06-30,0.3629
2023-03-31,0.409
2022-12-31,0.4255
2022-09-30,0.4548
2022-06-30,0.5225
2022-03-31,0.6812
2021-12-31,0.7294
2021-09-30,0.6593
2021-06-30,0.7262
2021-03-31,0.7346
2020-12-31,0.66
2020-09-30,0.5593
2020-06-30,0.5415
2020-03-31,0.5785
2019-12-31,0.6072
2019-09-30,0.5501
2019-06-30,0.4136
2019-03-31,0.473
2018-12-31,0.4391
2018-09-30,0.4481
2018-06-30,0.4285
2018-03-31,0.4981
2017-12-31,0.5224
2017-09-30,0.3892
2017-06-30,0.4273
2017-03-31,0.5526
2016-12-31,0.5678
2016-09-30,0.4939
2016-06-30,0.4978
2016-03-31,0.5759
2015-12-31,0.6353
2015-09-30,0.5904
