DateTime,AltmanZScore
2023-06-30,3.664
2023-03-31,3.81
2022-12-31,3.861
2022-09-30,4.021
2022-06-30,4.041
2022-03-31,5.917
2021-12-31,5.763
2021-09-30,5.029
2021-06-30,9.076
2021-03-31,8.837
2020-12-31,9.735
2020-09-30,7.496
2020-06-30,6.023
2020-03-31,6.884
2019-12-31,7.532
2019-09-30,6.45
2019-06-30,5.802
2019-03-31,5.671
2018-12-31,12.9
2018-09-30,11.69
2018-06-30,7.638
2018-03-31,6.667
2017-12-31,5.964
2017-09-30,6.207
2017-06-30,6.198
2017-03-31,6.09
2016-12-31,5.379
2016-09-30,5.703
2016-06-30,5.744
2016-03-31,5.356
2015-12-31,4.713
2015-09-30,4.612
2015-06-30,4.706
2015-03-31,3.757
2014-12-31,3.934
2014-09-30,2.884
2014-06-30,1.69
2014-03-31,1.316
2013-12-31,1.523
2013-09-30,1.069
2013-06-30,2.338
2013-03-31,2.298
2012-12-31,2.31
2012-09-30,2.916
2012-06-30,0.6139
2012-03-31,0.7746
2011-12-31,0.6205
2011-09-30,1.009
2011-06-30,3.217
2011-03-31,3.682
