DateTime,AltmanZScore
2023-03-31,-9.017
2022-12-31,-6.475
2022-09-30,-5.709
2022-06-30,-4.53
2022-03-31,-2.745
2021-12-31,-2.004
2021-09-30,-4.071
2021-06-30,-3.235
2021-03-31,-8.839
2020-12-31,-14.18
2020-09-30,-14.99
2020-06-30,-11.13
2020-03-31,-18.45
2019-12-31,-18.2
2019-09-30,-21.37
2019-06-30,-22.98
2019-03-31,-27.41
2018-12-31,-21.66
2018-09-30,-20.6
2018-06-30,-19.84
2018-03-31,-18.94
2017-12-31,-14.28
2017-09-30,-13.25
2017-06-30,-15.68
2017-03-31,-19.79
2016-12-31,-13.29
2016-09-30,-17.46
2016-06-30,-17.86
2016-03-31,-17.5
2015-12-31,-17.25
2015-09-30,-10.5
2015-06-30,-7.728
2015-03-31,-6.244
2014-12-31,-4.149
2014-09-30,-6.06
2014-06-30,-5.21
2014-03-31,-6.368
2013-12-31,-8.612
2013-09-30,-6.553
2013-06-30,-5.774
2013-03-31,-4.52
2012-12-31,-5.05
2012-09-30,-4.478
2012-06-30,-4.012
2012-03-31,-3.03
2011-12-31,-0.8634
2011-09-30,3.326
2011-06-30,8.738
2011-03-31,10.04
2010-12-31,13.55
