DateTime,AltmanZScore
2023-03-31,1.686
2022-12-31,1.51
2022-09-30,1.171
2022-06-30,1.05
2022-03-31,1.008
2021-12-31,1.532
2021-09-30,1.43
2021-06-30,1.504
2021-03-31,1.722
2020-12-31,1.368
2020-09-30,1.288
2020-06-30,1.373
2020-03-31,1.728
2019-12-31,2.787
2019-09-30,2.969
2019-06-30,3.29
2019-03-31,2.897
2018-12-31,2.109
2018-09-30,2.617
2018-06-30,2.987
2018-03-31,2.696
2017-12-31,2.81
2017-09-30,2.915
2017-06-30,2.706
2017-03-31,2.694
2016-12-31,3.605
2016-09-30,3.896
2016-06-30,3.434
2016-03-31,2.74
2015-12-31,3.872
2015-09-30,3.603
2015-06-30,5.105
2015-03-31,4.885
2014-12-31,4.423
2014-09-30,24.4
2014-06-30,61.72
2014-03-31,47.17
2013-12-31,32.29
2013-09-30,6.963
2013-06-30,3.229
2013-03-31,-8.948
2012-12-31,-8.666
2012-09-30,-6.789
2012-06-30,-6.929
2012-03-31,-4.438
2011-12-31,-5.149
2011-09-30,-0.6522
2011-06-30,-5.133
2011-03-31,-5.133
2010-12-31,-5.133
