DateTime,AltmanZScore
2023-03-31,1.927
2022-12-31,2.462
2022-09-30,2.152
2022-06-30,1.941
2022-03-31,1.669
2021-12-31,0.5955
2021-09-30,0.3022
2021-06-30,0.3133
2021-03-31,-0.1052
2020-12-31,-1.642
2020-09-30,-2.495
2020-06-30,-2.43
2020-03-31,-2.344
2019-12-31,-0.1209
2019-09-30,0.5885
2019-06-30,0.758
2019-03-31,0.9905
2018-12-31,0.9205
2018-09-30,1.401
2018-06-30,1.321
2018-03-31,1.066
2017-12-31,1.133
2017-09-30,1.089
2017-06-30,0.9424
2017-03-31,0.8828
2016-12-31,0.8906
2016-09-30,0.1464
2016-06-30,-0.3829
2016-03-31,-1.209
2015-12-31,-1.335
2015-09-30,-1.466
2015-06-30,-0.1652
2015-03-31,0.0779
2014-12-31,0.8372
2014-09-30,1.59
2014-06-30,1.818
2014-03-31,1.739
2013-12-31,1.772
2013-09-30,1.866
2013-06-30,1.686
2013-03-31,1.608
2012-12-31,1.649
2012-09-30,1.794
2012-06-30,1.948
2012-03-31,2.343
2011-12-31,2.279
2011-09-30,2.376
2011-06-30,2.779
2011-03-31,2.798
2010-12-31,2.626
