DateTime,AltmanZScore
2023-03-31,2.276
2022-12-31,2.696
2022-09-30,1.655
2022-06-30,1.828
2022-03-31,1.899
2021-12-31,1.973
2021-09-30,1.893
2021-06-30,6.838
2021-03-31,8.463
2020-12-31,6.376
2020-09-30,5.53
2020-06-30,5.859
2020-03-31,5.504
2019-12-31,6.306
2019-09-30,5.529
2019-06-30,7.184
2019-03-31,7.539
2018-12-31,7.858
2018-09-30,9.035
2018-06-30,10.77
2018-03-31,10.25
2017-12-31,7.092
2017-09-30,6.307
2017-06-30,6.773
2017-03-31,6.61
2016-12-31,6.992
2016-09-30,5.757
2016-06-30,6.815
2016-03-31,5.251
2015-12-31,5.165
2015-09-30,5.406
2015-06-30,6.803
2015-03-31,7.598
2014-12-31,8.52
2014-09-30,6.585
2014-06-30,8.706
2014-03-31,8.152
2013-12-31,9.622
2013-09-30,8.969
2013-06-30,9.342
2013-03-31,8.237
2012-12-31,8.609
2012-09-30,8.016
2012-06-30,8.366
2012-03-31,9.006
2011-12-31,9.902
2011-09-30,8.952
2011-06-30,12.84
2011-03-31,10.87
2010-12-31,11.81
