DateTime,AltmanZScore
2022-12-31,6.049
2022-09-30,6.049
2022-06-30,6.049
2022-03-31,6.049
2021-12-31,10.48
2021-09-30,10.48
2021-06-30,10.48
2021-03-31,10.48
2020-12-31,9.295
2020-09-30,9.295
2020-06-30,9.295
2020-03-31,9.295
2019-12-31,8.539
2019-09-30,8.539
2019-06-30,8.539
2019-03-31,8.539
2018-12-31,6.147
2018-09-30,6.147
2018-06-30,6.147
2018-03-31,6.147
2017-12-31,6.821
2017-09-30,6.821
2017-06-30,6.821
2017-03-31,6.821
2016-12-31,5.313
2016-09-30,5.313
2016-06-30,5.313
2016-03-31,5.313
2015-12-31,6.076
2015-09-30,6.076
2015-06-30,6.076
2015-03-31,6.076
2014-12-31,6.742
2014-09-30,6.742
2014-06-30,6.742
2014-03-31,6.742
2013-12-31,5.587
2013-09-30,5.587
2013-06-30,5.587
2013-03-31,5.587
2012-12-31,6.028
2012-09-30,6.028
2012-06-30,6.028
2012-03-31,6.028
2011-12-31,4.946
2011-09-30,4.946
2011-06-30,4.946
2011-03-31,4.946
2010-12-31,4.694
2010-09-30,4.694
