DateTime,AltmanZScore
2022-06-30,2.34
2022-03-31,2.34
2021-12-31,2.34
2021-09-30,2.34
2021-06-30,2.34
2021-03-31,2.34
2020-12-31,2.34
2020-09-30,2.34
2020-06-30,2.34
2020-03-31,2.34
2019-12-31,2.34
2019-09-30,2.34
2019-06-30,2.34
2019-03-31,2.34
2018-12-31,2.34
2018-09-30,2.34
2018-06-30,2.34
2018-03-31,2.34
2017-12-31,2.34
2017-09-30,34.56
2017-06-30,29.87
2017-03-31,29.18
2016-12-31,29.18
2016-09-30,21.5
2016-06-30,15.62
2016-03-31,23.62
2015-12-31,23.51
2015-09-30,26.62
2015-06-30,20.37
2015-03-31,21.12
