DateTime,AltmanZScore
2023-03-31,2.509
2022-12-31,3.15
2022-09-30,3.41
2022-06-30,2.895
2022-03-31,3.467
2021-12-31,3.365
2021-09-30,4.158
2021-06-30,3.449
2021-03-31,4.947
2020-12-31,3.335
2020-09-30,2.778
2020-06-30,2.827
2020-03-31,3.198
2019-12-31,3.074
2019-09-30,2.435
2019-06-30,2.402
2019-03-31,2.238
2018-12-31,2.03
2018-09-30,2.545
2018-06-30,2.366
2018-03-31,2.334
2017-12-31,2.558
2017-09-30,1.792
2017-06-30,2.01
2017-03-31,1.59
2016-12-31,1.669
2016-09-30,1.565
2016-06-30,1.316
2016-03-31,1.516
2015-12-31,1.829
2015-09-30,1.26
2015-06-30,1.791
2015-03-31,1.382
2014-12-31,1.158
2014-09-30,1.992
2014-06-30,2.18
2014-03-31,2.096
2013-12-31,1.284
2013-09-30,1.055
2013-06-30,0.7704
2013-03-31,0.8654
2012-12-31,0.8129
2012-09-30,1.024
2012-06-30,2.13
2012-03-31,3.018
2011-12-31,3.384
2011-09-30,3.187
2011-06-30,3.565
2011-03-31,3.854
2010-12-31,4.337
