DateTime,AltmanZScore
2023-03-31,1.573
2022-12-31,1.287
2022-09-30,2.236
2022-06-30,3.239
2022-03-31,5.271
2021-12-31,5.531
2021-09-30,13.61
2021-06-30,14.97
2021-03-31,10.77
2020-12-31,16.46
2020-09-30,16.33
2020-06-30,22.44
2020-03-31,20.15
2019-12-31,20.84
2019-09-30,17.56
2019-06-30,18.14
2019-03-31,18.16
2018-12-31,20.17
2018-09-30,20.28
2018-06-30,17.6
2018-03-31,21.24
2017-12-31,15.28
2017-09-30,13.46
2017-06-30,11.03
2017-03-31,10.29
2016-12-31,15.83
2016-09-30,17.41
2016-06-30,16.81
2016-03-31,24.92
2015-12-31,21.11
2015-09-30,24.36
2015-06-30,39.22
2015-03-31,27.75
