DateTime,AltmanZScore
2023-06-30,10.68
2023-03-31,9.142
2022-12-31,9.507
2022-09-30,8.074
2022-06-30,9.118
2022-03-31,15.35
2021-12-31,14.97
2021-09-30,15.76
2021-06-30,6.577
2021-03-31,5.625
2020-12-31,4.888
2020-09-30,3.63
2020-06-30,4.13
2020-03-31,2.274
2019-12-31,2.214
2019-09-30,1.782
2019-06-30,6.636
2019-03-31,6.153
2018-12-31,6.498
2018-09-30,6.432
2018-06-30,4.68
2018-03-31,3.105
2017-12-31,2.947
2017-09-30,3.522
2017-06-30,4.008
2017-03-31,3.035
2016-12-31,3.05
2016-09-30,2.408
2016-06-30,2.151
2016-03-31,3.509
2015-12-31,4.52
2015-09-30,8.646
2015-06-30,13.35
2015-03-31,13.7
2014-12-31,12.41
2014-09-30,10.63
2014-06-30,13.57
2014-03-31,12.48
2013-12-31,5.782
2013-09-30,5.208
2013-06-30,5.089
2013-03-31,4.074
2012-12-31,0.8191
2012-09-30,1.205
2012-06-30,2.466
2012-03-31,2.529
2011-12-31,3.883
2011-09-30,3.525
2011-06-30,4.968
2011-03-31,3.721
