DateTime,AltmanZScore
2023-03-31,-1.37
2022-12-31,-1.469
2022-09-30,-2.428
2022-06-30,-2.07
2022-03-31,-1.501
2021-12-31,-1.505
2021-09-30,-2.177
2021-06-30,-1.551
2021-03-31,-2.869
2020-12-31,-2.762
2020-09-30,-3.832
2020-06-30,-3.905
2020-03-31,-3.429
2019-12-31,-3.286
2019-09-30,-4.109
2019-06-30,-3.715
2019-03-31,-3.487
2018-12-31,-4.205
2018-09-30,-4.63
2018-06-30,-4.595
2018-03-31,-4.818
2017-12-31,-5.836
2017-09-30,-6.102
2017-06-30,-5.994
2017-03-31,-4.855
2016-12-31,-4.441
2016-09-30,-4.151
2016-06-30,-3.977
2016-03-31,-3.822
2015-12-31,-5.829
2015-09-30,-5.465
2015-06-30,-4.995
2015-03-31,-7.584
2014-12-31,-6.926
2014-09-30,-6.761
2014-06-30,-7.251
2014-03-31,-6.334
2013-12-31,-5.558
2013-09-30,-5.026
2013-06-30,-4.636
2013-03-31,-4.38
2012-12-31,-3.838
2012-09-30,2.357
2012-06-30,2.019
2012-03-31,2.586
2011-12-31,2.251
2011-09-30,0.9297
2011-06-30,2.146
2011-03-31,2.641
2010-12-31,1.983
