DateTime,AltmanZScore
2023-03-31,-30.1
2022-12-31,-10.18
2022-09-30,-0.0775
2022-06-30,27.64
2022-03-31,90.62
2021-12-31,146.19
2021-09-30,329.22
2021-06-30,618.76
2021-03-31,670.64
2020-12-31,605.64
2020-09-30,400.33
2020-06-30,547.94
2020-03-31,82.99
2019-12-31,94.09
2019-09-30,59.93
2019-06-30,124.62
2019-03-31,95.79
2018-12-31,-4.228
2018-09-30,84.32
2018-06-30,94.4
2018-03-31,66.73
2017-12-31,177.42
2017-09-30,199.4
2017-06-30,184.67
2017-03-31,215.26
2016-12-31,32.49
2016-09-30,84.67
2016-06-30,77.0
2016-03-31,193.9
2015-12-31,220.52
2015-09-30,264.63
2015-06-30,208.07
2015-03-31,168.09
2014-12-31,135.04
2014-09-30,70.8
2014-06-30,123.21
2014-03-31,201.39
2013-12-31,181.41
2013-09-30,80.74
2013-06-30,100.78
2013-03-31,-34.43
2012-12-31,-8.601
2012-09-30,-7.874
2012-06-30,0.8718
2012-03-31,-0.4664
2011-12-31,-8.664
2011-09-30,6.644
2011-06-30,15.46
2011-03-31,21.45
2010-12-31,17.94
