DateTime,AltmanZScore
2023-03-31,1.435
2022-12-31,1.52
2022-09-30,2.087
2022-06-30,1.056
2022-03-31,1.088
2021-12-31,1.704
2021-09-30,3.503
2021-06-30,5.376
2021-03-31,5.843
2020-12-31,5.075
2020-09-30,3.342
2020-06-30,3.742
2020-03-31,11.11
2019-12-31,18.22
2019-09-30,15.18
2019-06-30,24.55
2019-03-31,24.64
2018-12-31,35.95
2018-09-30,70.11
2018-06-30,115.04
2018-03-31,20.67
2017-12-31,15.7
2017-09-30,9.479
2017-06-30,7.881
2017-03-31,3.938
2016-12-31,3.269
2016-09-30,1.7
2016-06-30,0.5927
2016-03-31,-0.1251
2015-12-31,0.1473
2015-09-30,-0.0801
2015-06-30,-3.15
2015-03-31,-2.317
2014-12-31,-6.244
2014-09-30,-4.9
2014-06-30,-4.004
2014-03-31,-3.124
2013-12-31,-1.688
2013-09-30,-1.0
2013-06-30,-4.956
2013-03-31,-3.869
2012-12-31,-3.113
2012-09-30,-6.945
2012-06-30,-5.773
2012-03-31,-5.154
2011-12-31,-3.22
2011-09-30,-2.404
2011-06-30,12.17
2011-03-31,30.38
2010-12-31,-10.6
