DateTime,AltmanZScore
2023-03-31,-28.97
2022-12-31,-18.31
2022-09-30,-20.74
2022-06-30,-16.0
2022-03-31,-13.19
2021-12-31,-9.629
2021-09-30,-3.353
2021-06-30,-0.8983
2021-03-31,1.1
2020-12-31,-0.137
2020-09-30,-18.34
2020-06-30,-11.72
2020-03-31,-43.22
2019-12-31,-21.41
2019-09-30,-14.16
2019-06-30,-61.65
2019-03-31,-25.16
2018-12-31,-13.33
2018-09-30,-3.452
2018-06-30,-2.711
2018-03-31,6.2
2017-12-31,12.85
2017-09-30,51.47
2017-06-30,101.4
2017-03-31,81.16
2016-12-31,193.72
2016-09-30,52.2
2016-06-30,52.2
2016-03-31,52.2
2015-12-31,1105.47
2015-09-30,128.66
2015-06-30,3181.47
2015-03-31,3181.47
2014-12-31,14508.17
2014-09-30,3592.47
2014-06-30,14646.3
2014-03-31,11882.81
2013-12-31,644.7
2013-09-30,4605.63
