DateTime,AltmanZScore
2023-03-31,-0.0477
2022-12-31,0.422
2022-09-30,0.7826
2022-06-30,0.8402
2022-03-31,1.075
2021-12-31,1.86
2021-09-30,2.491
2021-06-30,3.124
2021-03-31,4.405
2020-12-31,3.456
2020-09-30,1.276
2020-06-30,0.6881
2020-03-31,0.4041
2019-12-31,0.9474
2019-09-30,1.698
2019-06-30,1.528
2019-03-31,1.276
2018-12-31,1.545
2018-09-30,2.099
2018-06-30,2.337
2018-03-31,1.326
2017-12-31,1.271
2017-09-30,1.271
2017-06-30,1.081
2017-03-31,2.46
2016-12-31,2.216
2016-09-30,4.288
2016-06-30,2.818
2016-03-31,1.774
2015-12-31,1.846
2015-09-30,1.204
2015-06-30,1.993
2015-03-31,2.326
2014-12-31,2.368
2014-09-30,1.777
2014-06-30,4.204
2014-03-31,3.732
2013-12-31,5.233
2013-09-30,4.089
2013-06-30,3.301
2013-03-31,2.094
2012-12-31,3.818
2012-09-30,5.662
2012-06-30,8.817
2012-03-31,15.78
