DateTime,AltmanZScore
2023-03-31,1.551
2022-12-31,3.555
2022-09-30,3.008
2022-06-30,7.873
2022-03-31,13.57
2021-12-31,19.31
2021-09-30,38.44
2021-06-30,49.18
2021-03-31,56.92
2020-12-31,98.64
2020-09-30,9.289
2020-06-30,11.51
2020-03-31,4.227
2019-12-31,1.246
2019-09-30,2.59
2019-06-30,0.2285
2019-03-31,-14.68
2018-12-31,-15.52
2018-09-30,-20.48
2018-06-30,-22.27
2018-03-31,-16.44
2017-12-31,-15.44
2017-09-30,-24.19
2017-06-30,-26.54
2017-03-31,-33.82
2016-12-31,-24.48
2016-09-30,-26.25
2016-06-30,-25.28
2016-03-31,-29.38
2015-12-31,-23.81
2015-09-30,-25.99
2015-06-30,-26.47
2015-03-31,-20.53
2014-12-31,-18.28
2014-09-30,-32.89
2014-06-30,-54.13
2014-03-31,-39.45
2013-12-31,-64.38
2013-09-30,-38.55
2013-06-30,-26.83
2013-03-31,-19.05
2012-12-31,-49.14
2012-09-30,-32.52
2012-06-30,-25.64
2012-03-31,-34.79
2011-12-31,-16.01
2011-09-30,-17.32
2011-06-30,-17.32
2011-03-31,-17.32
2010-12-31,-17.32
