DateTime,AltmanZScore
2023-03-31,0.6737
2022-12-31,0.9213
2022-09-30,0.5588
2022-06-30,0.5417
2022-03-31,0.6074
2021-12-31,1.024
2021-09-30,0.5684
2021-06-30,0.6725
2021-03-31,0.5828
2020-12-31,0.8044
2020-09-30,0.5076
2020-06-30,0.5281
2020-03-31,0.3964
2019-12-31,0.8843
2019-09-30,0.3904
2019-06-30,0.4412
2019-03-31,0.4752
2018-12-31,1.006
2018-09-30,0.3658
2018-06-30,0.4931
2018-03-31,0.5616
2017-12-31,0.5616
2017-09-30,0.7181
2017-06-30,0.9753
2017-03-31,0.9344
2016-12-31,0.8098
2016-09-30,1.543
2016-06-30,1.412
2016-03-31,1.549
2015-12-31,1.98
2015-09-30,1.024
2015-06-30,0.9644
2015-03-31,0.6265
2014-12-31,1.302
2014-09-30,1.298
2014-06-30,1.45
2014-03-31,1.348
2013-12-31,2.097
2013-09-30,1.467
2013-06-30,1.24
2013-03-31,1.052
2012-12-31,1.598
2012-09-30,1.322
2012-06-30,1.472
2012-03-31,1.514
2011-12-31,1.818
2011-09-30,1.433
2011-06-30,1.497
2011-03-31,1.482
2010-12-31,1.482
