DateTime,AltmanZScore
2023-03-31,-0.4048
2022-12-31,-0.3991
2022-09-30,-0.2745
2022-06-30,-0.1583
2022-03-31,0.3901
2021-12-31,0.2908
2021-09-30,0.2694
2021-06-30,-0.0225
2021-03-31,-0.5749
2020-12-31,-1.434
2020-09-30,-1.48
2020-06-30,-1.199
2020-03-31,-1.045
2019-12-31,-0.0079
2019-09-30,-0.114
2019-06-30,0.3005
2019-03-31,0.6593
2018-12-31,0.4654
2018-09-30,1.138
2018-06-30,0.9648
2018-03-31,0.8486
2017-12-31,0.9779
2017-09-30,1.394
2017-06-30,1.098
2017-03-31,0.8109
2016-12-31,0.5376
2016-09-30,0.5749
2016-06-30,0.7929
2016-03-31,0.8808
2015-12-31,1.282
2015-09-30,1.47
2015-06-30,1.582
2015-03-31,1.29
2014-12-31,1.188
2014-09-30,1.466
2014-06-30,1.5
2014-03-31,1.19
2013-12-31,1.057
2013-09-30,1.071
2013-06-30,1.306
2013-03-31,1.505
2012-12-31,1.346
