DateTime,AltmanZScore
2023-03-31,0.736
2022-12-31,0.7447
2022-09-30,0.7269
2022-06-30,0.7661
2022-03-31,0.7866
2021-12-31,0.8284
2021-09-30,0.8205
2021-06-30,0.7391
2021-03-31,0.6967
2020-12-31,0.6369
2020-09-30,0.6306
2020-06-30,0.6782
2020-03-31,0.7136
2019-12-31,0.7017
2019-09-30,0.7005
2019-06-30,0.6854
2019-03-31,0.6843
2018-12-31,0.7024
2018-09-30,0.7043
2018-06-30,0.6919
2018-03-31,0.6919
2017-12-31,0.7351
2017-09-30,0.7104
2017-06-30,0.7424
2017-03-31,0.7503
2016-12-31,0.7164
2016-09-30,0.6727
2016-06-30,0.6548
2016-03-31,0.6788
2015-12-31,0.6992
2015-09-30,0.6766
2015-06-30,0.6738
2015-03-31,0.6701
2014-12-31,0.6407
2014-09-30,0.6532
2014-06-30,0.6618
2014-03-31,0.6292
2013-12-31,0.6845
2013-09-30,0.6307
2013-06-30,0.6473
2013-03-31,0.6052
2012-12-31,0.5555
2012-09-30,0.3198
2012-06-30,0.3765
2012-03-31,0.4182
2011-12-31,0.5915
2011-09-30,0.4868
2011-06-30,0.3187
2011-03-31,0.389
2010-12-31,0.3494
