DateTime,AltmanZScore
2023-03-31,-16.27
2022-12-31,-16.32
2022-09-30,-8.828
2022-06-30,-6.417
2022-03-31,-4.59
2021-12-31,-3.242
2021-09-30,-1.41
2021-06-30,0.8948
2021-03-31,2.686
2020-12-31,1.62
2020-09-30,0.6011
2020-06-30,-28.45
2020-03-31,-55.8
2019-12-31,-67.82
2019-09-30,-10.34
2019-06-30,-7.771
2019-03-31,-4.977
2018-12-31,-5.151
2018-09-30,1.255
2018-06-30,9.138
2018-03-31,0.7568
2017-12-31,-2.463
2017-09-30,0.1007
2017-06-30,-0.6001
2017-03-31,-0.0429
2016-12-31,-0.2261
2016-09-30,1.94
2016-06-30,1.008
2016-03-31,0.0363
2015-12-31,-0.6011
2015-09-30,-29.54
2015-06-30,-24.16
2015-03-31,-53.99
2014-12-31,-32.64
2014-09-30,-64.04
2014-06-30,-54.47
2014-03-31,-22.72
2013-12-31,-23.43
2013-09-30,-100.43
2013-06-30,-121.57
2013-03-31,-49.92
2012-12-31,-60.73
2012-09-30,-118.04
2012-06-30,-124.86
2012-03-31,-71.12
2011-12-31,-77.85
2011-09-30,-44.29
2011-06-30,-31.52
2011-03-31,-11.7
2010-12-31,-12.11
