DateTime,AltmanZScore
2023-03-31,5.36
2022-12-31,4.513
2022-09-30,6.598
2022-06-30,5.267
2022-03-31,8.723
2021-12-31,12.2
2021-09-30,15.05
2021-06-30,15.84
2021-03-31,23.33
2020-12-31,26.8
2020-09-30,62.07
2020-06-30,31.37
2020-03-31,4.352
2019-12-31,3.122
2019-09-30,26.35
2019-06-30,31.65
2019-03-31,50.47
2018-12-31,0.8718
2018-09-30,75.28
2018-06-30,48.71
2018-03-31,16.94
2017-12-31,17.19
2017-09-30,15.74
2017-06-30,-1.277
2017-03-31,-10.06
2016-12-31,-11.7
2016-09-30,-6.352
2016-06-30,-5.704
2016-03-31,-2.981
2015-12-31,-1.13
2015-09-30,-0.4468
2015-06-30,1.001
2015-03-31,-0.3153
2014-12-31,0.8876
2014-09-30,4.682
2014-06-30,7.357
2014-03-31,10.24
2013-12-31,-19.81
2013-09-30,-20.04
2013-06-30,-19.78
2013-03-31,-20.49
2012-12-31,-22.82
2012-09-30,-21.71
2012-06-30,-24.55
2012-03-31,-40.08
2011-12-31,-45.92
2011-09-30,-48.68
2011-06-30,-51.39
2011-03-31,-54.57
2010-12-31,-57.08
