DateTime,AltmanZScore
2023-03-31,1.486
2022-12-31,1.563
2022-09-30,4.325
2022-06-30,4.183
2022-03-31,30.35
2021-12-31,36.07
2021-09-30,49.38
2021-06-30,81.92
2021-03-31,117.69
2020-12-31,126.56
2020-09-30,15.57
2020-06-30,-6.977
2020-03-31,-22.23
2019-12-31,-15.43
2019-09-30,-8.414
2019-06-30,-4.412
2019-03-31,-1.719
2018-12-31,-4.83
2018-09-30,1.242
2018-06-30,-4.85
2018-03-31,-32.63
2017-12-31,-184.31
2017-09-30,-342.23
2017-06-30,-81.82
2017-03-31,-75.58
2016-12-31,-81.86
2016-09-30,-86.66
2016-06-30,-66.8
2016-03-31,-48.39
2015-12-31,-38.5
2015-09-30,-42.46
2015-06-30,-36.18
2015-03-31,-35.59
2014-12-31,-29.04
2014-09-30,-27.37
2014-06-30,-11.01
2014-03-31,-6.802
2013-12-31,-4.336
2013-09-30,-5.15
2013-06-30,-1.609
2013-03-31,7.002
2012-12-31,28.92
2012-09-30,25.21
2012-06-30,30.39
2012-03-31,11.85
