DateTime,AltmanZScore
2023-03-31,-8.173
2022-12-31,-10.62
2022-09-30,-12.66
2022-06-30,-11.93
2022-03-31,-13.41
2021-12-31,-9.618
2021-09-30,-3.948
2021-06-30,-2.881
2021-03-31,-1.633
2020-12-31,-0.6214
2020-09-30,0.6801
2020-06-30,1.403
2020-03-31,-1.079
2019-12-31,0.9974
2019-09-30,1.473
2019-06-30,3.733
2019-03-31,5.715
2018-12-31,3.462
2018-09-30,6.068
2018-06-30,6.614
2018-03-31,7.838
2017-12-31,9.018
2017-09-30,6.235
2017-06-30,5.09
2017-03-31,3.299
2016-12-31,2.214
2016-09-30,2.449
2016-06-30,1.957
2016-03-31,2.173
2015-12-31,4.264
2015-09-30,7.281
2015-06-30,22.82
2015-03-31,19.67
2014-12-31,13.78
2014-09-30,4.216
2014-06-30,3.506
2014-03-31,2.386
2013-12-31,2.116
2013-09-30,2.826
2013-06-30,2.606
