DateTime,AltmanZScore
2021-06-30,156.61
2021-03-31,255.55
2020-12-31,254.54
2020-09-30,246.18
2020-06-30,167.56
2020-03-31,37.97
2019-12-31,92.9
2019-09-30,40.6
2019-06-30,46.89
2019-03-31,21.29
2018-12-31,193.77
2018-09-30,427.67
2018-06-30,254.32
2018-03-31,133.31
2017-12-31,634.53
2017-09-30,682.04
2017-06-30,972.8
2017-03-31,618.92
2016-12-31,428.59
2016-09-30,589.17
2016-06-30,1323.02
2016-03-31,1459.75
2015-12-31,-6.15
2015-09-30,-170.8
2015-06-30,-87.8
2015-03-31,-65.37
2014-12-31,-31.5
2014-09-30,-16.13
2014-06-30,-15.58
2014-03-31,-16.5
2013-12-31,-10.58
