DateTime,AltmanZScore
2023-03-31,2.11
2022-12-31,2.004
2022-09-30,1.697
2022-06-30,1.573
2022-03-31,1.858
2021-12-31,2.157
2021-09-30,6.136
2021-06-30,8.748
2021-03-31,7.539
2020-12-31,6.624
2020-09-30,5.221
2020-06-30,5.314
2020-03-31,5.028
2019-12-31,6.795
2019-09-30,6.886
2019-06-30,7.678
2019-03-31,6.704
2018-12-31,5.672
2018-09-30,5.758
2018-06-30,6.267
2018-03-31,4.621
2017-12-31,5.018
2017-09-30,4.287
2017-06-30,3.879
2017-03-31,3.859
2016-12-31,4.635
2016-09-30,3.427
2016-06-30,3.244
2016-03-31,2.416
2015-12-31,2.437
2015-09-30,2.944
2015-06-30,3.145
2015-03-31,3.652
2014-12-31,4.177
2014-09-30,4.822
2014-06-30,4.917
2014-03-31,4.569
2013-12-31,4.684
2013-09-30,5.373
2013-06-30,4.021
2013-03-31,4.08
2012-12-31,3.618
2012-09-30,3.69
2012-06-30,4.164
2012-03-31,4.405
2011-12-31,4.618
2011-09-30,3.769
2011-06-30,3.97
2011-03-31,4.912
2010-12-31,4.435
