DateTime,AltmanZScore
2023-03-31,-1.011
2022-12-31,-0.9559
2022-09-30,-0.8785
2022-06-30,-0.7189
2022-03-31,-0.0959
2021-12-31,0.0841
2021-09-30,0.7072
2021-06-30,-3.505
2021-03-31,-4.943
2020-12-31,-4.966
2020-09-30,-5.21
2020-06-30,-4.764
2020-03-31,-4.626
2019-12-31,-4.912
2019-09-30,-4.936
2019-06-30,-4.573
2019-03-31,-3.005
2018-12-31,-2.437
2018-09-30,-1.414
2018-06-30,-0.9618
2018-03-31,0.234
2017-12-31,0.6381
2017-09-30,1.873
2017-06-30,2.344
2017-03-31,2.612
2016-12-31,1.936
2016-09-30,2.158
2016-06-30,3.155
2016-03-31,2.998
2015-12-31,3.0
2015-09-30,3.453
2015-06-30,3.016
2015-03-31,2.138
2014-12-31,1.514
2014-09-30,1.225
2014-06-30,0.6597
2014-03-31,0.3007
2013-12-31,0.3203
2013-09-30,0.1683
2013-06-30,0.6374
2013-03-31,1.1
2012-12-31,0.9789
2012-09-30,0.7945
2012-06-30,0.4519
2012-03-31,0.6165
2011-12-31,0.8417
2011-09-30,1.35
2011-06-30,2.683
2011-03-31,3.173
2010-12-31,3.122
