DateTime,AltmanZScore
2023-03-31,-4.441
2022-12-31,-16.31
2022-09-30,-9.676
2022-06-30,-10.69
2022-03-31,0.1277
2021-12-31,-6.43
2021-09-30,-6.43
2021-06-30,-6.43
2021-03-31,-6.43
2020-12-31,-6.43
2020-09-30,-6.43
2020-06-30,-6.43
2020-03-31,-6.43
2019-12-31,-6.43
2019-09-30,-6.43
2019-06-30,-6.43
2019-03-31,-6.43
2018-12-31,-6.43
2018-09-30,-6.43
2018-06-30,-6.43
2018-03-31,-6.43
2017-12-31,-6.43
2017-09-30,-7619.68
2017-06-30,-4081.15
2017-03-31,-45603.74
2016-12-31,-3025.06
2016-09-30,-5180.08
2016-06-30,-1842.74
2016-03-31,-124.1
2015-12-31,-19.53
2015-09-30,-32.84
2015-06-30,-25.87
2015-03-31,-127.08
2014-12-31,-226.18
2014-09-30,36.87
2014-06-30,56.58
2014-03-31,131.18
2013-12-31,11385.61
2013-09-30,1.241
2013-06-30,1.293
2013-03-31,1.04
2012-12-31,-1.247
2012-09-30,-0.2433
2012-06-30,-1.707
2012-03-31,-4.082
2011-12-31,-2.645
2011-09-30,-5.492
