DateTime,AltmanZScore
2023-05-31,6.471
2023-02-28,11.1
2022-11-30,9.885
2022-08-31,10.57
2022-05-31,9.048
2022-02-28,15.7
2021-11-30,23.13
2021-08-31,52.24
2021-05-31,32.53
2021-02-28,11.7
2020-11-30,5.793
2020-08-31,6.377
2020-05-31,4.547
2020-02-29,-16.93
2019-11-30,-15.87
2019-08-31,-12.22
2019-05-31,-17.3
2019-02-28,-25.83
2018-11-30,-15.98
2018-08-31,-38.51
2018-05-31,-28.86
2018-02-28,-22.59
2017-11-30,-17.95
2017-08-31,-83.49
2017-05-31,-47.13
2017-02-28,-30.52
2016-11-30,-30.52
2016-08-31,-60.03
2016-05-31,-29.8
2016-02-29,-19.88
2015-11-30,-13.24
2015-08-31,-7.823
2015-05-31,-5.688
2015-02-28,-35.08
2014-11-30,-20.55
2014-08-31,-10.5
