DateTime,AltmanZScore
2023-03-31,2.555
2022-12-31,2.702
2022-09-30,2.727
2022-06-30,2.839
2022-03-31,3.111
2021-12-31,3.447
2021-09-30,3.268
2021-06-30,3.079
2021-03-31,2.843
2020-12-31,2.697
2020-09-30,2.717
2020-06-30,2.769
2020-03-31,2.467
2019-12-31,3.156
2019-09-30,3.293
2019-06-30,3.313
2019-03-31,3.208
2018-12-31,3.102
2018-09-30,3.291
2018-06-30,3.105
2018-03-31,3.062
2017-12-31,3.25
2017-09-30,3.071
2017-06-30,2.956
2017-03-31,2.758
2016-12-31,3.009
2016-09-30,2.97
2016-06-30,2.857
2016-03-31,2.932
2015-12-31,3.27
2015-09-30,3.147
2015-06-30,3.514
2015-03-31,3.154
2014-12-31,3.177
2014-09-30,3.074
2014-06-30,3.047
2014-03-31,3.29
2013-12-31,3.456
2013-09-30,3.197
2013-06-30,3.16
2013-03-31,3.331
2012-12-31,3.361
2012-09-30,1.903
2012-06-30,1.923
2012-03-31,2.198
2011-12-31,3.494
2011-09-30,2.032
2011-06-30,2.278
2011-03-31,2.12
2010-12-31,3.9
