DateTime,AltmanZScore
2023-03-31,2.197
2022-12-31,2.086
2022-09-30,2.09
2022-06-30,2.097
2022-03-31,2.278
2021-12-31,2.126
2021-09-30,1.907
2021-06-30,1.791
2021-03-31,1.578
2020-12-31,1.031
2020-09-30,1.339
2020-06-30,1.402
2020-03-31,1.594
2019-12-31,2.036
2019-09-30,2.57
2019-06-30,2.862
2019-03-31,2.92
2018-12-31,4.927
2018-09-30,5.544
2018-06-30,5.585
2018-03-31,5.379
2017-12-31,5.182
2017-09-30,5.25
2017-06-30,5.731
2017-03-31,6.362
2016-12-31,5.938
2016-09-30,5.978
2016-06-30,5.881
2016-03-31,6.092
2015-12-31,5.44
2015-09-30,6.141
2015-06-30,5.977
2015-03-31,5.765
2014-12-31,5.781
2014-09-30,5.757
2014-06-30,5.923
2014-03-31,6.03
2013-12-31,6.075
2013-09-30,6.112
2013-06-30,6.06
2013-03-31,5.877
2012-12-31,5.292
2012-09-30,5.809
2012-06-30,5.7
2012-03-31,5.411
2011-12-31,5.25
2011-09-30,5.119
2011-06-30,5.59
2011-03-31,5.504
2010-12-31,5.506
