DateTime,AltmanZScore
2023-03-31,1.195
2022-12-31,1.248
2022-09-30,1.249
2022-06-30,1.085
2022-03-31,1.162
2021-12-31,0.9735
2021-09-30,0.717
2021-06-30,0.4576
2021-03-31,0.1735
2020-12-31,0.134
2020-09-30,0.2082
2020-06-30,0.2525
2020-03-31,0.3854
2019-12-31,0.4785
2019-09-30,0.4538
2019-06-30,0.4238
2019-03-31,0.4547
2018-12-31,0.561
2018-09-30,0.5542
2018-06-30,0.5153
2018-03-31,0.5832
2017-12-31,0.6278
2017-09-30,0.5206
2017-06-30,0.4462
2017-03-31,0.493
2016-12-31,0.5635
2016-09-30,0.5413
2016-06-30,0.4869
2016-03-31,0.4956
2015-12-31,0.5823
2015-09-30,0.5897
2015-06-30,0.5396
2015-03-31,0.669
2014-12-31,0.7176
2014-09-30,0.6139
2014-06-30,0.549
2014-03-31,0.5567
2013-12-31,0.5451
2013-09-30,0.4294
2013-06-30,0.3973
2013-03-31,0.4866
2012-12-31,0.5009
2012-09-30,0.4263
2012-06-30,0.3434
2012-03-31,0.3209
2011-12-31,0.3112
2011-09-30,0.3851
2011-06-30,0.3978
2011-03-31,0.4151
2010-12-31,0.4041
