DateTime,AltmanZScore
2023-04-30,2.734
2023-01-31,2.741
2022-10-31,2.717
2022-07-31,2.572
2022-04-30,2.824
2022-01-31,2.915
2021-10-31,2.89
2021-07-31,3.129
2021-04-30,2.996
2021-01-31,2.332
2020-10-31,2.286
2020-07-31,2.197
2020-04-30,2.594
2020-01-31,3.671
2019-10-31,3.643
2019-07-31,5.483
2019-04-30,5.628
2019-01-31,5.54
2018-10-31,5.399
2018-07-31,5.293
2018-04-30,5.605
2018-01-31,5.751
2017-10-31,5.347
2017-07-31,5.337
2017-04-30,5.581
2017-01-31,5.456
2016-10-31,5.152
2016-07-31,5.338
2016-04-30,5.389
2016-01-31,5.104
2015-10-31,5.138
2015-07-31,4.882
2015-04-30,5.044
2015-01-31,5.076
2014-10-31,4.773
2014-07-31,4.357
2014-04-30,4.404
2014-01-31,4.512
2013-10-31,4.684
2013-07-31,4.359
2013-04-30,4.37
2013-01-31,3.645
2012-10-31,3.58
2012-07-31,3.491
2012-04-30,3.333
2012-01-31,3.226
2011-10-31,3.131
2011-07-31,3.17
2011-04-30,3.28
2011-01-31,3.28
