DateTime,AltmanZScore
2023-06-30,19.76
2023-03-31,18.05
2022-12-31,13.51
2022-09-30,14.4
2022-06-30,17.08
2022-03-31,19.45
2021-12-31,21.28
2021-09-30,18.34
2021-06-30,16.6
2021-03-31,18.1
2020-12-31,17.93
2020-09-30,12.21
2020-06-30,11.1
2020-03-31,8.762
2019-12-31,11.38
2019-09-30,11.67
2019-06-30,12.25
2019-03-31,11.14
2018-12-31,8.145
2018-09-30,9.599
2018-06-30,7.194
2018-03-31,6.262
2017-12-31,6.584
2017-09-30,6.876
2017-06-30,5.869
2017-03-31,5.414
2016-12-31,4.532
2016-09-30,4.985
2016-06-30,4.747
2016-03-31,4.638
2015-12-31,5.149
2015-09-30,5.134
2015-06-30,4.706
2015-03-31,2.739
2014-12-31,2.519
2014-09-30,2.73
2014-06-30,2.525
2014-03-31,2.686
2013-12-31,2.529
2013-09-30,2.141
2013-06-30,2.109
2013-03-31,2.522
2012-12-31,2.254
2012-09-30,1.961
2012-06-30,1.702
2012-03-31,1.678
2011-12-31,1.345
2011-09-30,1.096
2011-06-30,0.8582
2011-03-31,0.8519
