DateTime,AltmanZScore
2023-03-31,-0.7229
2022-12-31,0.0681
2022-09-30,1.205
2022-06-30,3.95
2022-03-31,8.985
2021-12-31,13.44
2021-09-30,14.1
2021-06-30,16.09
2021-03-31,16.61
2020-12-31,14.84
2020-09-30,5.858
2020-06-30,5.982
2020-03-31,5.42
2019-12-31,10.73
2019-09-30,8.679
2019-06-30,10.9
2019-03-31,9.577
2018-12-31,18.79
2018-09-30,18.62
2018-06-30,14.49
2018-03-31,0.9192
2017-12-31,0.0764
2017-09-30,-2.09
2017-06-30,0.0052
2017-03-31,-6.392
2016-12-31,-3.512
2016-09-30,-2.013
2016-06-30,-3.326
2016-03-31,-6.382
2015-12-31,-3.341
2015-09-30,-3.838
2015-06-30,-6.302
2015-03-31,-4.157
2014-12-31,-5.381
2014-09-30,-6.837
2014-06-30,-7.749
2014-03-31,-5.435
2013-12-31,-5.519
2013-09-30,-4.006
2013-06-30,-1.819
2013-03-31,-0.9048
2012-12-31,-0.2989
2012-09-30,1.18
2012-06-30,1.803
2012-03-31,0.9147
2011-12-31,2.511
2011-09-30,1.76
2011-06-30,6.088
2011-03-31,6.129
2010-12-31,5.99
