DateTime,AltmanZScore
2023-03-31,0.3524
2022-12-31,0.317
2022-09-30,0.3415
2022-06-30,0.3298
2022-03-31,0.3509
2021-12-31,0.3634
2021-09-30,0.3283
2021-06-30,0.3748
2021-03-31,0.3702
2020-12-31,0.4465
2020-09-30,0.3399
2020-06-30,0.3045
2020-03-31,0.287
2019-12-31,0.2658
2019-09-30,0.2424
2019-06-30,0.2328
2019-03-31,0.3094
2018-12-31,0.2582
2018-09-30,0.2688
2018-06-30,0.2107
2018-03-31,0.2904
2017-12-31,0.2624
2017-09-30,0.1968
2017-06-30,0.2113
2017-03-31,0.1907
2016-12-31,0.2607
2016-09-30,0.2321
2016-06-30,0.1245
2016-03-31,0.1645
2015-12-31,0.1681
2015-09-30,0.1416
2015-06-30,0.1561
2015-03-31,0.1455
2014-12-31,0.1529
2014-09-30,0.1573
2014-06-30,0.1088
2014-03-31,0.1362
2013-12-31,0.1189
2013-09-30,0.2365
2013-06-30,0.1665
2013-03-31,0.1091
2012-12-31,0.1953
2012-09-30,0.2937
2012-06-30,0.2015
2012-03-31,0.2259
2011-12-31,0.2924
2011-09-30,0.2201
2011-06-30,0.1992
2011-03-31,0.2054
2010-12-31,0.0928
