DateTime,AltmanZScore
2022-09-30,0.3826
2022-06-30,0.408
2022-03-31,0.4478
2021-12-31,0.4577
2021-09-30,0.4663
2021-06-30,0.4766
2021-03-31,0.5152
2020-12-31,0.4707
2020-09-30,0.4075
2020-06-30,0.4122
2020-03-31,0.3986
2019-12-31,0.4329
2019-09-30,0.4527
2019-06-30,0.3746
2019-03-31,0.3855
2018-12-31,0.3461
2018-09-30,0.3729
2018-06-30,0.3673
2018-03-31,0.3546
2017-12-31,0.3455
2017-09-30,0.37
2017-06-30,0.3425
2017-03-31,0.3587
2016-12-31,0.3705
2016-09-30,0.3648
2016-06-30,0.3641
2016-03-31,0.3645
2015-12-31,0.3595
2015-09-30,0.4137
2015-06-30,0.3628
2015-03-31,0.4552
2014-12-31,0.3907
2014-09-30,0.4313
2014-06-30,0.374
2014-03-31,0.3892
2013-12-31,0.3989
2013-09-30,0.4228
2013-06-30,0.4411
2013-03-31,0.4324
2012-12-31,0.4444
2012-09-30,0.4892
2012-06-30,0.3628
2012-03-31,0.3665
2011-12-31,0.3735
2011-09-30,0.341
2011-06-30,0.358
2011-03-31,0.3436
2010-12-31,0.5135
2010-09-30,0.4312
2010-06-30,0.486
