DateTime,AltmanZScore
2023-03-31,-5.303
2022-12-31,-4.035
2022-09-30,-3.026
2022-06-30,-2.524
2022-03-31,-1.458
2021-12-31,-0.9275
2021-09-30,-0.5503
2021-06-30,-0.2317
2021-03-31,0.2603
2020-12-31,2.147
2020-09-30,2.36
2020-06-30,2.33
2020-03-31,2.477
2019-12-31,1.87
2019-09-30,1.87
2019-06-30,1.87
2019-03-31,1.87
2018-12-31,1.87
2018-09-30,1.87
2018-06-30,1.87
2018-03-31,1.87
2017-12-31,1.87
2017-09-30,1.87
2017-06-30,-2.682
2017-03-31,0.3375
2016-12-31,0.2041
2016-09-30,1.089
2016-06-30,-4.225
2016-03-31,-4.064
2015-12-31,-3.074
2015-09-30,-2.104
2015-06-30,1.868
2015-03-31,2.038
2014-12-31,0.8217
