DateTime,AltmanZScore
2023-03-31,7.776
2022-12-31,7.606
2022-09-30,7.219
2022-06-30,6.857
2022-03-31,6.625
2021-12-31,6.697
2021-09-30,6.395
2021-06-30,6.893
2021-03-31,6.942
2020-12-31,7.347
2020-09-30,7.482
2020-06-30,7.066
2020-03-31,6.665
2019-12-31,7.522
2019-09-30,7.909
2019-06-30,7.895
2019-03-31,8.019
2018-12-31,8.456
2018-09-30,8.576
2018-06-30,8.028
2018-03-31,8.253
2017-12-31,8.053
2017-09-30,7.551
2017-06-30,7.664
2017-03-31,8.228
2016-12-31,8.133
2016-09-30,8.058
2016-06-30,9.217
2016-03-31,9.781
2015-12-31,9.137
2015-09-30,8.936
2015-06-30,8.394
2015-03-31,8.948
2014-12-31,9.347
2014-09-30,9.783
2014-06-30,9.207
2014-03-31,8.806
2013-12-31,9.55
2013-09-30,9.302
2013-06-30,10.0
2013-03-31,10.54
2012-12-31,10.85
2012-09-30,13.57
2012-06-30,13.41
2012-03-31,14.89
2011-12-31,15.22
2011-09-30,14.64
2011-06-30,15.66
2011-03-31,15.59
2010-12-31,17.33
