DateTime,AltmanZScore
2023-03-31,0.8229
2022-12-31,0.6878
2022-09-30,1.823
2022-06-30,2.218
2022-03-31,2.318
2021-12-31,2.749
2021-09-30,2.002
2021-06-30,6.402
2021-03-31,4.666
2020-12-31,3.658
2020-09-30,3.346
2020-06-30,3.754
2020-03-31,3.141
2019-12-31,4.852
2019-09-30,3.527
2019-06-30,5.034
2019-03-31,5.101
2018-12-31,3.463
2018-09-30,3.632
2018-06-30,2.744
2018-03-31,2.306
2017-12-31,2.304
2017-09-30,1.304
2017-06-30,3.149
2017-03-31,2.651
2016-12-31,1.204
2016-09-30,0.6045
2016-06-30,0.3629
2016-03-31,0.667
2015-12-31,0.7065
2015-09-30,1.538
2015-06-30,3.494
2015-03-31,3.623
2014-12-31,2.825
2014-09-30,1.936
2014-06-30,2.183
2014-03-31,2.689
2013-12-31,3.121
2013-09-30,2.379
2013-06-30,2.208
2013-03-31,2.051
2012-12-31,1.87
2012-09-30,2.26
2012-06-30,4.91
2012-03-31,5.171
2011-12-31,1.356
2011-09-30,0.9562
2011-06-30,1.299
2011-03-31,0.8287
