DateTime,AltmanZScore
2023-03-31,5.21
2022-12-31,4.655
2022-09-30,0.9897
2022-06-30,0.9568
2022-03-31,1.085
2021-12-31,1.127
2021-09-30,2.378
2021-06-30,2.598
2021-03-31,3.731
2020-12-31,2.347
2020-09-30,1.858
2020-06-30,1.526
2020-03-31,1.672
2019-12-31,1.575
2019-09-30,2.654
2019-06-30,2.945
2019-03-31,2.704
2018-12-31,2.205
2018-09-30,2.181
2018-06-30,3.756
2018-03-31,6.392
2017-12-31,4.997
2017-09-30,4.105
2017-06-30,5.227
2017-03-31,5.722
2016-12-31,7.243
2016-09-30,7.08
2016-06-30,7.607
2016-03-31,7.387
2015-12-31,8.495
2015-09-30,7.57
2015-06-30,7.864
2015-03-31,6.611
2014-12-31,5.997
2014-09-30,4.899
2014-06-30,5.856
2014-03-31,6.317
2013-12-31,6.389
2013-09-30,5.399
2013-06-30,5.99
2013-03-31,5.901
2012-12-31,2.658
2012-09-30,4.319
2012-06-30,4.604
2012-03-31,4.577
2011-12-31,4.55
2011-09-30,4.693
2011-06-30,5.554
2011-03-31,4.503
2010-12-31,3.136
