DateTime,AltmanZScore
2023-03-31,-0.4639
2022-12-31,-0.4909
2022-09-30,-0.1602
2022-06-30,0.0177
2022-03-31,-0.0113
2021-12-31,-0.0481
2021-09-30,-0.0069
2021-06-30,-0.1013
2021-03-31,-0.4347
2020-12-31,-0.3963
2020-09-30,-0.4351
2020-06-30,-0.3274
2020-03-31,-0.1283
2019-12-31,1.428
2019-09-30,2.01
2019-06-30,5.398
2019-03-31,4.031
2018-12-31,0.7714
2018-09-30,0.8099
2018-06-30,1.032
2018-03-31,1.157
2017-12-31,2.018
2017-09-30,1.755
2017-06-30,1.283
2017-03-31,1.329
2016-12-31,0.7617
2016-09-30,0.7654
2016-06-30,0.813
2016-03-31,1.347
2015-12-31,1.141
2015-09-30,1.346
2015-06-30,1.343
2015-03-31,1.418
2014-12-31,1.21
2014-09-30,2.02
2014-06-30,1.836
2014-03-31,29.71
2013-12-31,2.747
2013-09-30,1.611
2013-06-30,1.56
2013-03-31,1.426
2012-12-31,1.417
2012-09-30,0.5344
2012-06-30,0.5457
2012-03-31,0.6546
2011-12-31,1.504
2011-09-30,0.6464
2011-06-30,0.6893
2011-03-31,0.7247
2010-12-31,1.839
