DateTime,AltmanZScore
2017-12-31,0.3862
2017-09-30,0.3862
2017-06-30,0.3862
2017-03-31,0.3862
2016-12-31,0.4026
2016-09-30,0.4026
2016-06-30,0.4026
2016-03-31,0.4026
2015-12-31,0.3508
2015-09-30,0.3508
2015-06-30,0.3508
2015-03-31,0.3508
2014-12-31,0.3499
2014-09-30,0.3499
2014-06-30,0.55
2014-03-31,0.568
2013-12-31,0.5582
2013-09-30,0.5791
2013-06-30,0.6024
2013-03-31,0.6658
2012-12-31,0.669
2012-09-30,0.3017
2012-06-30,0.3005
2012-03-31,0.287
2011-12-31,0.6606
2011-09-30,0.3065
2011-06-30,0.2914
2011-03-31,0.2363
2010-12-31,0.1936
2010-09-30,0.205
2010-06-30,0.203
2010-03-31,0.1861
2009-12-31,0.2462
2009-09-30,0.2656
2009-06-30,0.2709
2009-03-31,0.2589
2008-12-31,0.1791
2008-09-30,0.1857
2008-06-30,0.1717
2008-03-31,0.2383
2007-12-31,0.2598
2007-09-30,0.2598
2007-06-30,0.2598
2007-03-31,0.2598
2006-12-31,0.2598
2006-09-30,0.2598
2006-06-30,0.3048
2006-03-31,0.2523
2005-12-31,0.1482
2005-09-30,0.0642
