DateTime,AltmanZScore
2023-03-31,-6.312
2022-12-31,-5.886
2022-09-30,-6.475
2022-06-30,-6.024
2022-03-31,-4.404
2021-12-31,-4.044
2021-09-30,-3.325
2021-06-30,-6.874
2021-03-31,-8.362
2020-12-31,-8.253
2020-09-30,-8.818
2020-06-30,-5.357
2020-03-31,-5.717
2019-12-31,-6.315
2019-09-30,-6.419
2019-06-30,-5.942
2019-03-31,-5.531
2018-12-31,-4.898
2018-09-30,-5.034
2018-06-30,-4.596
2018-03-31,-3.823
2017-12-31,-3.923
2017-09-30,-4.982
2017-06-30,-3.39
2017-03-31,-2.71
2016-12-31,-2.321
2016-09-30,-2.348
2016-06-30,-2.307
2016-03-31,-2.095
2015-12-31,-1.588
2015-09-30,-1.576
2015-06-30,-1.256
2015-03-31,-1.137
2014-12-31,-0.7781
2014-09-30,-0.7049
2014-06-30,-0.5759
2014-03-31,-0.3655
2013-12-31,-0.6837
2013-09-30,-1.039
2013-06-30,-0.9334
2013-03-31,-0.7907
2012-12-31,-0.5647
2012-09-30,-0.5553
2012-06-30,-0.4848
2012-03-31,-0.4734
2011-12-31,-0.4306
2011-09-30,-0.3713
2011-06-30,-0.4891
2011-03-31,-0.4357
2010-12-31,-0.4686
