DateTime,AltmanZScore
2023-03-31,6.717
2022-12-31,7.001
2022-09-30,6.574
2022-06-30,6.419
2022-03-31,6.622
2021-12-31,6.059
2021-09-30,6.634
2021-06-30,6.266
2021-03-31,6.694
2020-12-31,6.133
2020-09-30,5.99
2020-06-30,6.678
2020-03-31,7.1
2019-12-31,7.081
2019-09-30,7.224
2019-06-30,6.238
2019-03-31,6.992
2018-12-31,6.777
2018-09-30,8.242
2018-06-30,7.294
2018-03-31,7.802
2017-12-31,7.151
2017-09-30,7.977
2017-06-30,7.38
2017-03-31,7.883
2016-12-31,7.372
2016-09-30,7.751
2016-06-30,7.023
2016-03-31,8.844
2015-12-31,7.169
2015-09-30,7.341
2015-06-30,7.526
2015-03-31,8.91
2014-12-31,8.419
2014-09-30,8.434
2014-06-30,7.514
2014-03-31,8.341
2013-12-31,8.249
2013-09-30,7.421
2013-06-30,7.38
2013-03-31,8.276
2012-12-31,7.204
2012-09-30,7.051
2012-06-30,6.826
2012-03-31,7.09
2011-12-31,6.824
2011-09-30,6.562
2011-06-30,6.575
2011-03-31,6.987
2010-12-31,7.008
