DateTime,AltmanZScore
2023-04-30,21.8
2023-01-31,13.33
2022-10-31,13.13
2022-07-31,8.549
2022-04-30,12.32
2022-01-31,18.33
2021-10-31,13.56
2021-07-31,18.46
2021-04-30,16.08
2021-01-31,11.33
2020-10-31,10.51
2020-07-31,10.23
2020-04-30,8.223
2020-01-31,10.19
2019-10-31,13.14
2019-07-31,18.18
2019-04-30,26.62
2019-01-31,8.412
2018-10-31,8.998
2018-07-31,6.052
2018-04-30,5.165
2018-01-31,2.759
2017-10-31,2.359
2017-07-31,2.402
2017-04-30,2.362
2017-01-31,2.191
2016-10-31,0.6122
2016-07-31,0.177
2016-04-30,0.177
2016-01-31,-0.6385
2015-10-31,-0.857
2015-07-31,-0.6274
2015-04-30,-0.8332
2015-01-31,-0.9429
2014-10-31,-0.9721
