DateTime,AltmanZScore
2023-03-31,6.799
2022-12-31,5.972
2022-09-30,5.449
2022-06-30,5.828
2022-03-31,6.711
2021-12-31,6.509
2021-09-30,6.62
2021-06-30,6.702
2021-03-31,7.215
2020-12-31,5.947
2020-09-30,6.29
2020-06-30,5.992
2020-03-31,5.411
2019-12-31,6.628
2019-09-30,6.886
2019-06-30,6.958
2019-03-31,7.809
2018-12-31,8.343
2018-09-30,9.506
2018-06-30,9.728
2018-03-31,9.75
2017-12-31,8.548
2017-09-30,9.088
2017-06-30,8.823
2017-03-31,11.85
2016-12-31,8.944
2016-09-30,9.245
2016-06-30,8.388
2016-03-31,11.75
2015-12-31,8.039
2015-09-30,8.716
2015-06-30,8.62
2015-03-31,11.56
2014-12-31,7.388
2014-09-30,6.426
2014-06-30,7.157
2014-03-31,9.579
2013-12-31,7.674
2013-09-30,7.062
2013-06-30,7.244
2013-03-31,9.153
2012-12-31,6.942
2012-09-30,6.89
2012-06-30,6.552
2012-03-31,7.776
2011-12-31,6.318
2011-09-30,6.348
2011-06-30,7.491
2011-03-31,8.515
2010-12-31,7.284
