DateTime,AltmanZScore
2023-06-30,0.611
2023-03-31,0.6115
2022-12-31,0.8135
2022-09-30,0.9375
2022-06-30,1.022
2022-03-31,0.9299
2021-12-31,0.9686
2021-09-30,0.7658
2021-06-30,0.6295
2021-03-31,0.4848
2020-12-31,0.0642
2020-09-30,0.2994
2020-06-30,0.7991
2020-03-31,0.2551
2019-12-31,0.5665
2019-09-30,0.6535
2019-06-30,0.6751
2019-03-31,0.7805
2018-06-30,0.7805
2018-03-31,0.7805
2017-12-31,0.79
2017-09-30,32.92
2017-06-30,17.11
2017-03-31,16.13
2016-12-31,16.13
2016-09-30,6.203
2016-06-30,7.15
2016-03-31,5.19
2015-12-31,3.058
2015-09-30,2.494
2015-06-30,2.541
2015-03-31,4.18
2014-12-31,4.694
2014-09-30,5.206
2014-06-30,2.739
2014-03-31,2.148
2013-12-31,1.9
2013-09-30,0.644
2013-06-30,0.4643
2013-03-31,0.3806
2012-12-31,0.3806
2012-09-30,0.3806
2012-06-30,1.224
