DateTime,AltmanZScore
2023-03-31,-0.1959
2022-12-31,-0.0356
2022-09-30,-0.0868
2022-06-30,-0.1649
2022-03-31,-0.3054
2021-12-31,-1.373
2021-09-30,-1.107
2021-06-30,-0.5633
2021-03-31,-1.482
2020-12-31,-4.773
2020-09-30,-4.93
2020-06-30,-4.194
2020-03-31,-3.636
2019-12-31,0.1455
2019-09-30,-0.6152
2019-06-30,-0.5581
2019-03-31,-0.6353
2018-12-31,-0.9553
2018-09-30,-0.6147
2018-06-30,-1.037
2018-03-31,-1.506
2017-12-31,-0.7265
2017-09-30,-0.5582
2017-06-30,-0.2644
2017-03-31,-0.4195
2016-12-31,-0.769
2016-09-30,-1.277
2016-06-30,-0.8351
2016-03-31,-1.134
2015-12-31,-0.9076
2015-09-30,-1.327
2015-06-30,-0.8305
2015-03-31,-0.1761
2014-12-31,0.6877
2014-09-30,0.6877
2014-06-30,-79.54
2014-03-31,-60.47
2013-12-31,0.1297
2013-09-30,-41.38
2013-06-30,-30.54
2013-03-31,-28.17
2012-12-31,-29.5
2012-09-30,-18.9
2012-06-30,-20.59
2012-03-31,-15.19
2011-12-31,-8.954
2011-09-30,-12.36
2011-06-30,-10.28
2011-03-31,-7.873
2010-12-31,-4.79
