DateTime,AltmanZScore
2023-03-31,10.7
2022-12-31,7.549
2022-09-30,6.452
2022-06-30,6.688
2022-03-31,7.253
2021-12-31,7.791
2021-09-30,5.018
2021-06-30,8.784
2021-03-31,8.16
2020-12-31,8.227
2020-09-30,7.441
2020-06-30,7.226
2020-03-31,7.695
2019-12-31,8.847
2019-09-30,5.784
2019-06-30,5.457
2019-03-31,8.336
2018-12-31,5.795
2018-09-30,7.065
2018-06-30,7.651
2018-03-31,7.574
2017-12-31,9.026
2017-09-30,10.13
2017-06-30,13.91
2017-03-31,11.21
2016-12-31,7.856
2016-09-30,6.927
2016-06-30,5.461
2016-03-31,5.71
2015-12-31,4.45
2015-09-30,4.452
2015-06-30,4.402
2015-03-31,4.088
2014-12-31,3.36
2014-09-30,2.73
2014-06-30,8.975
2014-03-31,9.947
2013-12-31,9.682
2013-09-30,11.1
2013-06-30,9.932
2013-03-31,10.22
2012-12-31,9.858
2012-09-30,10.81
2012-06-30,11.22
2012-03-31,12.19
2011-12-31,7.238
2011-09-30,8.011
2011-06-30,9.993
2011-03-31,15.23
2010-12-31,12.31
