DateTime,AltmanZScore
2023-03-31,4.003
2022-12-31,4.142
2022-09-30,4.292
2022-06-30,4.772
2022-03-31,4.76
2021-12-31,4.466
2021-09-30,4.249
2021-06-30,4.378
2021-03-31,4.402
2020-12-31,3.97
2020-09-30,3.938
2020-06-30,3.805
2020-03-31,3.971
2019-12-31,4.233
2019-09-30,4.282
2019-06-30,4.062
2019-03-31,4.158
2018-12-31,4.989
2018-09-30,4.892
2018-06-30,5.193
2018-03-31,4.613
2017-12-31,4.843
2017-09-30,4.973
2017-06-30,4.64
2017-03-31,4.785
2016-12-31,3.975
2016-09-30,4.075
2016-06-30,4.704
2016-03-31,4.743
2015-12-31,5.587
2015-09-30,4.721
2015-06-30,5.917
2015-03-31,5.79
2014-12-31,5.899
2014-09-30,6.968
2014-06-30,7.655
2014-03-31,7.899
2013-12-31,7.692
2013-09-30,7.552
2013-06-30,8.748
2013-03-31,8.676
2012-12-31,7.597
2012-09-30,7.699
2012-06-30,7.161
2012-03-31,7.766
2011-12-31,6.945
2011-09-30,6.668
2011-06-30,6.789
2011-03-31,7.067
2010-12-31,6.224
