DateTime,AltmanZScore
2023-03-31,1.484
2022-12-31,0.7877
2022-09-30,0.6963
2022-06-30,1.859
2022-03-31,2.834
2021-12-31,4.062
2021-09-30,4.808
2021-06-30,5.261
2021-03-31,4.605
2020-12-31,3.071
2020-09-30,2.009
2020-06-30,1.364
2020-03-31,0.559
2019-12-31,2.022
2019-09-30,1.502
2019-06-30,2.421
2019-03-31,1.127
2018-12-31,0.7248
2018-09-30,2.444
2018-06-30,5.066
2018-03-31,2.972
2017-12-31,3.547
2017-09-30,5.711
2017-06-30,2.31
2017-03-31,2.565
2016-12-31,2.755
2016-09-30,3.809
2016-06-30,0.9992
2016-03-31,0.6598
2015-12-31,0.8455
2015-09-30,0.4245
2015-06-30,0.3362
2015-03-31,0.9506
2014-12-31,-0.2901
2014-09-30,-0.4668
2014-06-30,-0.0707
2014-03-31,0.5864
2013-12-31,-2.779
2013-09-30,-3.91
2013-06-30,-3.889
2013-03-31,-3.401
2012-12-31,-4.613
2012-09-30,-5.736
2012-06-30,-5.46
2012-03-31,-4.763
2011-12-31,-5.111
2011-09-30,-4.348
2011-06-30,-2.673
2011-03-31,-2.067
2010-12-31,-7.082
