DateTime,AltmanZScore
2023-04-30,2.816
2023-01-31,3.33
2022-10-31,3.242
2022-07-31,3.343
2022-04-30,3.509
2022-01-31,4.166
2021-10-31,4.684
2021-07-31,4.591
2021-04-30,4.907
2021-01-31,3.598
2020-10-31,2.885
2020-07-31,2.607
2020-04-30,2.187
2020-01-31,3.114
2019-10-31,3.117
2019-07-31,3.033
2019-04-30,3.273
2019-01-31,5.556
2018-10-31,6.102
2018-07-31,6.229
2018-04-30,6.488
2018-01-31,5.332
2017-10-31,5.364
2017-07-31,5.404
2017-04-30,4.942
2017-01-31,4.721
2016-10-31,5.398
2016-07-31,5.165
2016-04-30,5.313
2016-01-31,5.335
2015-10-31,6.092
2015-07-31,5.894
2015-04-30,5.825
2015-01-31,5.285
2014-10-31,5.299
2014-07-31,5.298
2014-04-30,5.058
2014-01-31,4.804
2013-10-31,4.516
2013-07-31,4.455
2013-04-30,4.704
2013-01-31,4.479
2012-10-31,4.078
2012-07-31,4.061
2012-04-30,3.944
2012-01-31,3.426
2011-10-31,4.105
2011-07-31,4.438
2011-04-30,5.384
2011-01-31,5.417
