DateTime,AltmanZScore
2023-03-31,2.727
2022-12-31,2.665
2022-09-30,2.565
2022-06-30,2.496
2022-03-31,2.641
2021-12-31,2.892
2021-09-30,2.747
2021-06-30,2.662
2021-03-31,2.325
2020-12-31,1.942
2020-09-30,1.802
2020-06-30,1.779
2020-03-31,2.111
2019-12-31,2.955
2019-09-30,3.083
2019-06-30,3.282
2019-03-31,3.278
2018-12-31,3.289
2018-09-30,3.377
2018-06-30,3.185
2018-03-31,2.945
2017-12-31,2.917
2017-09-30,2.488
2017-06-30,2.396
2017-03-31,1.975
2016-12-31,2.217
2016-09-30,2.281
2016-06-30,2.383
2016-03-31,2.364
2015-12-31,2.464
2015-09-30,2.465
2015-06-30,2.604
2015-03-31,2.569
2014-12-31,2.561
2014-09-30,2.417
2014-06-30,2.418
2014-03-31,2.278
2013-12-31,2.185
2013-09-30,1.998
2013-06-30,2.15
2013-03-31,2.454
2012-12-31,2.794
2012-09-30,2.968
2012-06-30,3.035
2012-03-31,2.988
2011-12-31,2.738
2011-09-30,2.371
2011-06-30,2.5
2011-03-31,2.932
2010-12-31,2.822
