DateTime,AltmanZScore
2023-03-31,3.595
2022-12-31,3.481
2022-09-30,3.59
2022-06-30,3.432
2022-03-31,3.474
2021-12-31,3.468
2021-09-30,2.928
2021-06-30,2.694
2021-03-31,2.349
2020-12-31,1.954
2020-09-30,1.928
2020-06-30,1.656
2020-03-31,1.575
2019-12-31,1.767
2019-09-30,1.93
2019-06-30,2.121
2019-03-31,2.242
2018-12-31,2.361
2018-09-30,2.527
2018-06-30,2.678
2018-03-31,2.716
2017-12-31,2.609
2017-09-30,2.321
2017-06-30,2.06
2017-03-31,2.099
2016-12-31,2.126
2016-09-30,2.203
2016-06-30,2.277
2016-03-31,2.575
2015-12-31,2.208
2015-09-30,2.27
2015-06-30,2.834
2015-03-31,2.942
2014-12-31,2.566
2014-09-30,2.254
2014-06-30,2.1
2014-03-31,2.009
2013-12-31,1.938
2013-09-30,2.028
2013-06-30,2.035
2013-03-31,2.113
2012-12-31,2.054
2012-09-30,1.969
2012-06-30,1.748
2012-03-31,1.544
2011-12-31,1.479
2011-09-30,1.603
2011-06-30,1.924
2011-03-31,1.943
2010-12-31,1.955
