DateTime,AltmanZScore
2023-03-31,6.264
2022-12-31,6.925
2022-09-30,9.15
2022-06-30,10.32
2022-03-31,9.97
2021-12-31,10.51
2021-09-30,10.39
2021-06-30,11.16
2021-03-31,12.21
2020-12-31,11.91
2020-09-30,10.08
2020-06-30,13.15
2020-03-31,12.04
2019-12-31,11.91
2019-09-30,16.64
2019-06-30,14.14
2019-03-31,11.03
2018-12-31,13.41
2018-09-30,13.24
2018-06-30,14.11
2018-03-31,15.89
2017-12-31,13.24
2017-09-30,12.96
2017-06-30,12.0
2017-03-31,10.34
2016-12-31,11.44
2016-09-30,11.65
2016-06-30,14.98
2016-03-31,8.36
2015-12-31,9.475
2015-09-30,8.754
2015-06-30,9.516
2015-03-31,7.474
2014-12-31,7.065
2014-09-30,7.598
2014-06-30,6.728
2014-03-31,7.659
2013-12-31,6.496
2013-09-30,6.97
2013-06-30,5.778
2013-03-31,7.807
2012-12-31,6.006
2012-09-30,6.371
2012-06-30,6.86
2012-03-31,4.533
2011-12-31,3.613
2011-09-30,4.049
2011-06-30,4.781
2011-03-31,5.34
2010-12-31,4.596
